25,左脚端,255,255,24,-0.000005,0.059953,0.000000,1.000000,-0.000007,0.000108,0.000007,0.999999,0.001029,-0.000108,-0.001029,0.999999,0.000000,-0.000000,-0.012000,0.000000
0,主体,255,3,255,0.000006,-0.013207,0.350000,1.000000,-0.000000,-0.000173,0.000000,0.999999,-0.001302,0.000173,0.001302,0.999999,0.000000,-0.000000,-0.024000,0.000000
1,头部,255,255,2,-0.000030,-0.013475,0.555700,1.000000,-0.000000,-0.000173,0.000000,0.999999,-0.001302,0.000173,0.001302,0.999999,0.000000,-0.000000,-0.024000,0.000000
2,颈前摆,255,1,3,-0.000020,-0.013398,0.497200,1.000000,-0.000000,-0.000173,0.000000,0.999999,-0.001302,0.000173,0.001302,0.999999,0.000000,-0.000000,-0.024000,0.000000
3,颈旋转,4,2,0,-0.000012,-0.013342,0.454200,1.000000,-0.000000,-0.000173,0.000000,0.999999,-0.001302,0.000173,0.001302,0.999999,0.000000,-0.000000,-0.024000,0.000000
4,右大臂前摆,8,5,0,-0.000012,-0.076542,0.454118,0.999474,-0.000000,-0.032423,-0.000042,0.999999,-0.001301,0.032423,0.001302,0.999473,-0.032255,-0.000000,-0.024000,0.000000
5,右大臂侧摆,255,6,4,-0.000012,-0.125842,0.454053,0.999474,-0.000000,-0.032423,-0.000042,0.999999,-0.001301,0.032423,0.001302,0.999473,0.000000,-0.000000,-0.024000,0.000000
6,右臂肘前摆,255,7,5,0.003525,-0.125700,0.345011,0.998821,-0.000000,-0.048537,-0.000063,0.999999,-0.001300,0.048537,0.001302,0.998821,-0.016128,-0.000000,-0.024000,0.000000
7,右手端,255,255,6,0.010320,-0.125518,0.205176,0.998821,-0.000000,-0.048537,-0.000063,0.999999,-0.001300,0.048537,0.001302,0.998821,0.000000,-0.000000,-0.024000,0.000000
8,左大臂前摆,12,9,0,-0.000013,0.049857,0.454282,0.999485,-0.000000,0.032077,0.000042,0.999999,-0.001301,-0.032077,0.001302,0.999485,0.032255,-0.000000,-0.024000,0.000000
